title,sales_company,end_user,delivery_day,user_id,content,status
FA,　デュプロ,マツダ　他,2017/3/31,4,20台/隔月　　後継機種3320ｇ変更承認済み　20台/隔月　　専用ケーブル　2種,継続
医療,電装産業,ｼﾞｬﾊﾟﾝｾﾐｺﾝﾀﾞｸﾀ,2018/1/3,4,半導体製造装置用ラック読み取り,継続
医療,電装産業,A&T,2018/1/4,4,血液分析器に組み込み,継続
医療,電装産業,A&T,2018/1/5,4,mPam 血液分析装置組み込み,継続
医療,ユタカ電気,フクダ電子,2017/12/31,4,フクダ電子の心電計に採用　（専用ファームウエア）,継続
その他,ユタカ電気,富士電機,2017/3/31,4,自動販売機組み込み　50台ロット　継続,受注
物流,ユタカ電気,日立物流,2018/1/2,4,日立物流　ピッキング用,継続
物流,ユタカ電気,日立物流,2018/1/3,4,日立物流　ピッキング用,継続
物流,ユタカ電気,ｷﾘﾝ,2017/2/28,4,2台目キャノン向けは東研経由で失注しています。キリン導入済み2/17　ＰＣ込　107万,失注
物流,ユタカ電気,ファンケル化粧品,2017/5/31,4,DS7700とマゼラン3200との評価検討中、7980のデータ転送に2秒かかるバグを修正し、再度評価へ,継続
物流,ユタカ電気,JINS,2017/6/1,4,,継続
その他,ビジコム,提案中,2017/6/2,4,セドリ用途、Amzonサイトで販売,継続
物流,ビジコム,提案中,2017/6/3,4,とらや様向け 2台評価用で先行納入済み,受注
物流,ビジコム,提案中,2017/6/4,4,とらや様向け 2台評価用で先行納入済み　7980とセット　セカンダリではない,受注
その他,ビジコム,提案中,2017/12/31,4,パスポート用　OCR-B　付属,継続
小売,ビジコム,ウェルハン,2017/4/30,4,ネットーAより高めで提示、3/312機種デモ機貸し出し,継続
FA,ウェルキャット,提案中,2017/12/31,4,小口案件ばかりで、伸びなし、ホンダもサトー経由,継続
FA,ウェルキャット,提案中,2018/1/1,4,他社価格と比較して高くなってきた、そろそろ価格引き下げ,継続
FA,ウェルキャット,提案中,2018/1/2,4,利幅のある1900の方が売り易いようで、売れない。,継続
FA,ウェルキャット,提案中,2018/1/3,4,無線案件が少ない、あっても1902を売る,継続
物流,ウェルキャット,提案中,2016/8/31,4,マゼラン3200の置き換え、黄色い投光で赤いラベルが読めたので。,受注
FA,ウェルキャット,安川電気,2017/4/1,4,Stream-7のリプレース　総数300台を順次入替,受注
その他,ウェルキャット,ｼｬｰﾌﾟﾋﾞｼﾞﾈｽｼｽﾃﾑ,2017/3/1,4,OPOSのドライバーで不備、SBSがAP修正で稼働、40台3月出荷、残30台未定,受注
医療,ウェルキャット,名古屋液斉会病院,2017/6/1,4,D75eとEDA50で検討中、他社TC55あり,継続
その他,ウェルキャット,NEC経由XX社,2018/3/31,4,NEC経由でタブレットにBT接続、置台は充電だけ・・？　他のBTスキャナにすれば　1602とか,継続
FA,ウェルキャット,田中電子,2017/5/1,4,1900GHD　20台　追加20台あり。,受注
物流,ウェルキャット,安川ロジスティック,2017/3/1,4,安川電気経由、　大阪　板東様,継続
医療,ウェルキャット,都農町国民健康保険病院,2017/5/1,4,入札案件,継続
FA,ウェルキャット,ﾄｯﾊﾟﾝTDKﾚｰﾍﾞﾙ,2018/3/1,4,30Kと多いのですが、キオスクのような運用と聞いています、オカベさん情報では、みずほBK,継続
物流,ウェルキャット,大塚商会,2017/3/31,4,3月末までに納入可能との条件付きで検討したが、受注ならず,失注
FA,ウェルキャット,スズキ自動車,2017/6/1,4,Win　HHTのリクエスト、デモ機評価中　,継続
その他,ウェルキャット,相鉄イン,2017/12/31,4,,継続
その他,ウェルキャット,フジワーク,2017/4/30,4,"競合　Pana　JT-H322HT-20  2Dモデル　＠55,800円　",継続
FA,TEC,出光,2017/12/31,4,デモ機評価検討中,継続
FA,TEC,柿沼製作所,2017/12/31,4,東芝キャリア関連企業　１Dユース,継続
その他,加賀電子,富士通フロンテック,2017/12/31,4,旅館、ホテル向け自動清算機に機見込パスポートよみ画像所得,継続
その他,加賀電子,富士通フロンテック7580．7980．1900,2018/5/31,4,要素開発用に3機種購入いただく、次期POS用,継続
小売,加賀電子,リキッド,2017/5/1,4,ビジコムより仕入れ@2450円　粗利３００円　継続　MAX３０００台,継続
FA,トムラジャパン,提案中,2017/12/31,4,ペットボトル回収機　3310より変更済み,継続
その他,ﾌﾚｸｽﾄﾛﾆｸｽ,TUTAYA,2017/5/31,4,TUTAYA　セルフPOS用　リピート,継続
その他,NEC,TUTAYA,2017/12/31,4,TUTAYA向けセルフPOSバックアップ用として,継続
小売,NEC,バロックシステム,2017/12/31,4,バロックシステム向けNEC　POS,継続
FA,島津エミット,ミネベア,2017/7/1,4,2350をサンプル販売したが、読み取り距離が足りず、再検討中,継続
FA,野村マイクロサイエンス,提案中,2017/5/31,4,1台を販売、協力企業にも販売,継続
物流,ＩＢＳジャパン,日立システムズ,2017/8/31,4,DCMホールディング向け、今回はサンテレホン経由（加藤さん）に決まり進める,受注
FA,Panasonic,提案中,2017/12/31,4,Panasonic社内USE,継続
FA,Panasonic,提案中,2017/12/31,4,Panasonic社内USE,継続
小売,ソフトバンク,アルペン,2017/9/30,5,受注済み　ファイナル版を3月から4月上旬に提出。　５月はテスト用１０台程,継続
小売,NCR,アルペン,2017/9/30,5,"17/3　最終仕様決定17/4　発注予定　　5月はテスト用10台程納入予定",受注
小売,NCR,紀伊國屋書店,2017/8/31,5,"3/31　1902g黒でいく方針。4月10日頃内示予定。エンドがアルフに見積依頼をした。02、19の多段と同じバーコードを読ませたときの音違いのプラグイン必要。17/3　最終仕様決定及び1902採用決定可否判明",受注
小売,NCR,マツモトキヨシ,2018/8/31,5,3/17 4月に7台購入しテスト　問題なしの場合、10月から毎月150台前後導入予定,継続
小売,NCR,ユナイテッドアローズ,2018/12/31,5,"2月　SL42 800台で見積提出3/15　POS接続として1602gで提案とNCR担当から言われる。店舗内在庫管理用としてWiFi接続で画面付き、プログラム　を入れることができる機器の提案が必要。台数500台　バックアップとして有線LANクレードル3/24　PM200 1D+LANクレードル提案書提出",継続
小売,NCR,ユナイテッドアローズ,2018/12/31,5,,継続
小売,NCR,ユナイテッドアローズ,2018/12/31,5,,継続
小売,NCR,ラオックス,2017/12/31,5,"17/2　NCRとしては、商談の動きがあまりないが、リテールテックに招待とのこと。16/8､9でNCRにてデモ16/7　NCRに紹介　POS入換え商談。店舗数は30店舗。",継続
小売,NCR,JINS,2017/8/31,5,"3/15失注3/7デンソウェーブSE1-QBと2社競合エンドにて最終決定2/17 23500円で再提示2/1　25000円で提示1/25初回商談開始",失注
医療,アルフ,東邦ホールディングス,2017/6/30,5,17/3から第二回実証試験中,継続
小売,サンテレホン,DCMホールディングス,2017/8/31,5,"3/23　複数台(10台未満)購入を予定　サンテレホン経由2/10再見積提出3/14全体的に決定が1-2ヶ月は延びている。",継続
物流,イーエックス,ムービング,2018/2/28,5,"3/23　当初予定4月開発スタート　18年1月カットオーバーから遅延。他システムと兼ね合いの為。遅延期間エンドに確認中3/10　エンドへプロポーザル提出　NW7多段バーコード（マルイ仕様）",継続
物流,アイデアズ,シーエックスカーゴ,2017/8/31,5,"17/2　8670かKDC200+FTG17/1～2　第1回目実証実験17/5　第2回実証実験（8670及びKDC200でテスト）17/8　桶川、野田に導入予定",継続
物流,アイデアズ,シーエックスカーゴ,2017/8/31,5,2/16　お盆頃導入（3拠点ほど先ずは導入予定）を目指す。台数20×3拠点　春先にKDC200/8670で再度テスト予定,継続
小売,アイデアズ,バーニーズジャパンニューヨーク,2017/6/30,5,"3/30 エンドより予算認可承認がされ旨。連絡あり。月より値札発行業務が開始。3/16エンドにて予算審議会開催",継続
小売,アイデアズ,ココカラファイン,2017/3/23,5,"3/23　エンド上層部より他の新企画を考えろと情シスに指示があり、本件は失注。16/10　確認しているが遅延とのこと。16/7　パスポート読取商談。基本的は現在使用しているスライド方式（J＆J）のものを使用。港に近い店舗15店（各2台）を1900を入れる予定。パスポートを拡大コピーをしてくる為。",失注
小売,アイデアズ,アンテプリマ,2018/12/31,5,"16/10　Scanpal5100からPM200へ提案内容変更'16/7　エンドWMS導入し落ち着いた。ようやく検討に入る。来年度になる見込み",継続
小売,アイデアズ,エノテカ,2017/7/31,5,3/30 初回打ち合わせ。オレンジPOS(iPad）接続　屋内レジ会計用,継続
小売,アイデアズ,エノテカ,2017/7/31,5,3/30 初回打ち合わせ。二次元バーコードリーダー（免税）屋内レジ会計用,継続
小売,アイデアズ,エノテカ,2017/7/31,5,3/30 初回打ち合わせ。一次元バーコードリーダー（棚卸）店頭・バックヤードでの棚卸用、無線・小型リモコン型,継続
物流,KDDI,ヤマト運輸,2017/10/31,5,3/14　遅れに遅れている。現行サービス終了日は決まっているが、ぎりぎりまで動きがないのでは。,継続
物流,NTTドコモ,ヤマト運輸,2017/10/31,5,2/24　遅れている。エンドの動きが鈍い,継続
物流,NTTドコモ,ヤマト運輸,2017/10/31,5,,継続
その他,NTTドコモ,ビジネスプラス,2017/12/31,5,"2017/6/30に再度大きな見直しがある。スキャナ引き合いがあればスキャナを入れる。16/9/2物販開始したがバーコードスキャナは含んでいない。",継続
その他,CHS子育研究所,保育園,2017/3/31,5,3/17より納入開始(12台）　2年間で200台強販売予定,継続FA,テッチシステム,富士重工業,2018/12/31,5,3/13 エンドよりの要件定義待ち,継続
物流,テッチシステム,朝倉倉庫,2017/9/30,5,"16/11見積済み17/4　最終提案",継続
物流,京セラコミュニケーションズ,京セラコミュニケーションズ,2017/10/1,5,17/２　4月荷主向け提案,継続
FA,MIND,トヨタ自動車,2017/6/30,5,"3/9　1回目テスト完了　3/15　ソロモンOCR改良検討",継続
その他,中部,ヒルカワ金属株式会社,2017/10/31,5,3/1商談開始　（NTTドコモ商談）　建材出庫入荷システム,継続
小売,クロスプラネット,ゼビオ,2017/8/31,5,2/16　夏の新店舗で10台程テスト予定。本格導入は18年度,継続
その他,ダイドー,ダイドー,2017/9/30,5,16/12　稟議終了　4月開発機器導入6月、7月に開発完了　デバック後展開,継続
FA,IFSジャパン株式会社,武蔵野香料化学研究所,2017/7/31,5,"3/23遅延気味。遅延期間確認中　16/12/27：3月1日にカットオーバーでその時は導入済みのキーエンスハンディでいく。最終的には99exniを導入する予定。（当局の是正勧告があったので対応は必須とのこと）　16/12/7：3月末に最終提案⇒5月に稼動（ERPアプリの本稼動）",継続
小売,ユーエスエス,卑弥呼,2017/7/31,5,2/20KDC20で提案　4月に同行予定,継続
FA,神奈川トスバック,京浜発條,2017/4/30,5,"3/21 スケジュール連絡有　１）第１ステップ　①時期：２０１７年４月予定②台数：６台２）第２ステップ　①時期：２０１７年７月予定②台数：１４台　当初60台が20台で完了　3/16エンドに最終プロポーザル提出",継続
物流,KISS,DHL,2018/2/28,5,17/3　2月27日から3月6日にかけ、ヴォコレクト＋8670のトライアル　音声での導入効果検討中,継続
